id,location_name,sector,subsector,pollutant,emissions_quantity_tonnes,latitude,longitude,year
1377072,Ibanda County,buildings,residential-onsite-fuel-usage,pm2_5,540.54,-0.0599,30.4923,2026
1377061,Masaka Municipality,buildings,residential-onsite-fuel-usage,pm2_5,537.65,-0.3336,31.7313,2025
1377061,Masaka Municipality,buildings,residential-onsite-fuel-usage,pm2_5,536.7,-0.3336,31.7313,2024
1377034,Buyanja County,buildings,residential-onsite-fuel-usage,pm2_5,532.68,0.824,31.0256,2024
1377074,Kashari County,buildings,residential-onsite-fuel-usage,pm2_5,530.81,-0.4175,30.5739,2026
1376999,Luuka County,buildings,residential-onsite-fuel-usage,pm2_5,530.32,0.82,33.3269,2025
1377065,Kibanda County,buildings,residential-onsite-fuel-usage,pm2_5,529.64,1.9938,32.0498,2026
1377091,Buikwe County,buildings,residential-onsite-fuel-usage,pm2_5,529.4,0.3117,33.0147,2026
1377107,Budaka County,buildings,residential-onsite-fuel-usage,pm2_5,527.96,1.0674,34.0046,2025
1377094,Nakifuma County,buildings,residential-onsite-fuel-usage,pm2_5,526.31,0.6141,32.8414,2025
1376985,Igara County,buildings,residential-onsite-fuel-usage,pm2_5,523.03,-0.4819,30.1683,2026
1377127,Bunyole County,buildings,residential-onsite-fuel-usage,pm2_5,522.05,0.8669,33.8829,2025
1377031,Ntenjeru County,buildings,residential-onsite-fuel-usage,pm2_5,521.12,0.7061,32.9621,2025
1377049,Dokolo County,buildings,residential-onsite-fuel-usage,pm2_5,517.93,1.9103,33.0751,2026
1376999,Luuka County,buildings,residential-onsite-fuel-usage,pm2_5,516.58,0.82,33.3269,2024
1377107,Budaka County,buildings,residential-onsite-fuel-usage,pm2_5,515.69,1.0674,34.0046,2024
1377007,Bunyangabu County,buildings,residential-onsite-fuel-usage,pm2_5,514.43,0.4826,30.2011,2025
1377094,Nakifuma County,buildings,residential-onsite-fuel-usage,pm2_5,513.14,0.6141,32.8414,2024
1377032,Bugangaizi County,buildings,residential-onsite-fuel-usage,pm2_5,511.62,0.9635,31.2904,2026
1377044,Ngora County,buildings,residential-onsite-fuel-usage,pm2_5,511.48,1.499,33.7729,2025
1377037,Chua County,buildings,residential-onsite-fuel-usage,pm2_5,508.61,3.4442,33.4841,2026
1377127,Bunyole County,buildings,residential-onsite-fuel-usage,pm2_5,507.59,0.8669,33.8829,2024
1377031,Ntenjeru County,buildings,residential-onsite-fuel-usage,pm2_5,506.72,0.7061,32.9621,2024
1376975,Koboko County,buildings,residential-onsite-fuel-usage,pm2_5,506.69,3.5368,30.9839,2026
1377073,Isingiro County,buildings,residential-onsite-fuel-usage,pm2_5,505.79,-0.8383,30.7053,2026
1376971,Maruzi County,buildings,residential-onsite-fuel-usage,pm2_5,504.61,1.918,32.4817,2026
1377056,Katikamu County,buildings,residential-onsite-fuel-usage,pm2_5,501.61,0.8445,32.5214,2026
1377007,Bunyangabu County,buildings,residential-onsite-fuel-usage,pm2_5,500.69,0.4826,30.2011,2024
1377044,Ngora County,buildings,residential-onsite-fuel-usage,pm2_5,499.42,1.499,33.7729,2024
