headword,pos,definition,clarifier,example_runyankore,example_english,section
okwekururira,v,to cause attraction of something or somebody to self,,,,O
okwekuruza,v,to move from one end to another using the buttocks,,,,O
okwekuuma,v,to chew the curd especially in harbivorus animals,to regurgitate,,,O
okwekuuma,v,to guard against as a form of security or protection,,,,O
okwekuza,v,to assume one's age and take yourself to be older that your actual age,,,,O
okwekwasa,v,to shift blame to another person,,,,O
okwekwata,v,the act of refusing to spend when you actually have money,to be economical,,,O
okwekwatirira,v,to try to do something when you are very weak,,,,O
okwekweya,v,to be tall that you can be dragged on the ground,,,,O
okwekyanga,v,to act in protest without prior understanding why it is there,to protest,,,O
okwekyanga,v,To dance in such a way that one shakes his body showing happiness,,,,O
okwekyanga,v,to refuse to do something intetionally,,Ahabwe naamutuma ahaiziba yaayekyanga ngu mbanze muhe sente.,,O
okwekyeeka,v,feeling the feel of something bad you have done that it will be known by other people,to be suspecious,,,O
okwekyehesa,v,keeping quite while others are talking or shouting,to humble oneself,,,O
okwema,v,used to refer to the structure of something,,,,O
okwema,,to be on heat for animals especially cattle,,,,O
okwema,v,to be at the starting point,,,,O
okwemaamaata,v,to feel or express great sorrow or regreat for somebody,to lament,,,O
okwemaamura,v,to involuntarily open up the mouth and inhale deeply due to tiredness or boredome,to yawn,,,O
okwemaaringa,v,to make a series of movements and steps after someone has got annoyed or surprised,to dance about,,,O
okwemanya,v,to be proud as if you are above others,,,,O
okwemanyiiza,v,to familiarise oneself with and get used to,,,,O
okwemara,v,to have everything so that there is no need of borrowing or asking for help,,,,O
okwemaramara,v,to be proud with some style in walking,,,,O
okwemariirira,v,to be independent and self reliant,,Mutabani wangye hati ahi yaahika abaasa kwemariirira.,My son can now sustain himself at his level.,O
okwemeka,v,to make someone a priest or a bishop in an official religious ceremony,to ordain,,,O
okwemeka,v,to make someone a king or queen,to corrote,,,O
okwemera,v,to persevere rsevere or accepting the situation as it is,,,,O
okwemera,v,to recognize that a bad situation exists and cannot be avoided or changes,to accept,,,O
okwemerera,v,to have your body in an upright position supported by your feet,,Akemerera yabareeba atarikugamba.,He was standing looking at them in silence.,O
okwemerera,v,"this refers to car, plain or train stands somewhere not moving waiting to be used",,Emotoka ekemerera.,The car stopped.,O
okwemerera,v,to make a worker redundant,,Bakamwemereza aha murimo.,He was retrenched.,O
okwemererwa,v,to have pheumonia,,,,O
okwemereza,v,to stop something from being done,,"Bakaba baatandika orukiiko, minisita ku yaijire yaarwemereza.","They had already started the meeting but when the minister arrived, he stopped it.",O
okwemereza,v,Making something or someone who has fallen down stand again,,,,O
okwemereza,v,having fear or anxiety,,,,O
okwemereza,v,to spread,,Enkoko ekemereza amapapa.,The hen spread feathers.,O
okwemesa,v,to put a sperm into a woman or female animal to make her pregnant,to inseminate,,,O
okwemesereza,v,to stick and insist on someone that he is the real one who has done such a thing,,,,O
okwemeza,v,to germinate where they have not been planted,,,,O
okwemigisiriza,v,to get through or into a small space,to squeeze,,,O
okwemokoora,v,to make an involuntary act of pushing to bring back what is in the stomach through the mouth,,,,O
okwemunyunguza,v,to rinse oneself in the mouth,,,,O
okwemurika,v,to do something enjoyable in order to show that an occassion is special,to celebrate,,,O
okwemurugunya,v,"not to get satisfied with what has been done, said, or given to you",,,,O
okwenaamura,v,to be slow e.g in speech or at work,,,,O
okwenaga,v,to move away from the place where you have been and go to a distant area,,,,O
okwenanuura,v,"to make your arms, legs or body as straight as possible so that your muscles become long and tight",to stretch,,,O
okwenda,v,"to feel you would like to have, keep or do something",to want,,,O
okwenda,v,to lust to want something very much especially sex,,,,O
okwenegyeza,v,to facilitate or help something to go ahead or forward,,Obwegyese nibwenegyeza entunguuka.,Education facilitates development.,O
okwenga,v,to become ripe or to make something ripe,to ripen,,,O
okwenga,v,to make beer,to brew,,,O
okwenga,v,to dissolve a solid or crystals into a liquid e.g. salt,,,,O
okwengyengyeta,v,to shine with a lot of small quick flashes of light,to glitter,,,O
okwengyerera,v,to over rippen,,,,O
okweniaguriza,v,to escape,,Omwana w'eishomero akeniaguriza aha ishomero eshaaha zitakahikire.,The student escaped from school before time.,O
okwenootoora,v,,,,,O
okwenyigiriza,v,To squeeze oneself through,,,,O
okwenyogoora,v,to twist the body from side to side especially as a result of nervousness or discomfort,,,,O
okwenyonkooba,v,"to show ingratitude, disoconfort, resistance to what one has been ordered to do usually by fridgeting and making slow movements",,,,O
okwenyoofoora,v,to do something while taking your time or slowly,,,,O
okwenyungutuka,v,to pour half way,,,,O
okwenywanisiriza,v,to behavein an informal or friendly way towards someone you do not know very well,,,,O
okwenza,v,to cause trouble,,,,O
okwepaaka,v,to be proud,,,,O
okwera,v,to be ripe,,,,O
okwera,v,"to clean the home after the funeral, a ritual performed four days after burial",,,,O
okwera,v,to winnow by seperating dust from the grains,,,,O
okwera,v,to produce high yields,,,,O
okwera,v,to be white in colour,,,,O
okwera,v,to be clean,,,,O
okweraarasa,v,to fail to keep up the pace or struggle,to lag behind,,,O
okweraarikirira,v,to feel nervous and upset because you keep thinking about a problem that you have or could have in future,to worry,,,O
okwerabura,v,first signs seen when you are going to give birth,,,,O
okwerabwa,v,to catch a glance,,,,O
okweragaza,v,to clean or dry something using a cloth or something soft over it,to wipe,,,O
okwerambika,v,to be in a position in which your body is on a surface such as the floor or a bed,to lie,,,O
okweranguuza,v,to drink from a container and finish the contents there,,,,O
okwereebera,v,to see for yourself and prove that something is true,to confirm,,,O
okwereera,v,to water,,,,O
okwereeta,v,to come voluntarily,,,,O
okwerekura,v,to give out something to someone freely in suport,,,,O
okwerekura,v,to reduce in size and become small and weak,to lose weight,,,O
okwerembaremba,v,to eat slowly by slowly picking a small piece so as not to finish the food quickly,,,,O
okweremesa,v,"to fail oneself, in an activity",,,,O
okwerenga,v,an act of trying to be better that anybody else in a race or activity,to compete,,,O
okwerengyerera,v,to carry something on the head without holding it with hands,,,,O
okwerengyeza,v,to commit suicide by hanging yorself,,,,O
okwerenzya,v,"to eat, drink or use all of something so that there is nothing left",to finish off,,,O
okwerinda,v,"to keep someone or something safe from harm, injury, damage or loss",to protect,,,O
okwerinda,v,to warn or threaten someone,to be careful,,,O
okweringiita,v,"a person to act pretentiously ог publicly by parading themselves, their possessions ог accomplishment",to show off,,,O
okweringirika,v,to make yourself clean,,Naakunda kweringirika arikuza aha bugyenyi.,She likes making herself clean when going for a party.,O
okweringirika,v,to show off with what you have,,,,O
okweriza,v,to pretend as if you are crying or feeling sorry for something,,,,O
okweriza,v,to cry for no reason,,,,O
okwerongoora,v,to reward one's own self,,,,O
okwerunda,v,to sit uncomfortably due to lack of space,,,,O
okwerundaana,v,to gather in one place for a meeting or for any other reason,,,,O
okwerundaana,v,to come closer to one another,,,,O
okwerunga,v,to sit somewhere holding your chin to express sadness,,,,O
okweruuka,v,to be blown off by wind,,,,O
okwerwanaho,v,to defend yourself against a threat,,,,O
okwerya,v,to be proud of yourself,,,,O
okwesaasa,v,to hurt oneself,,,,O
okwesaasira,v,to ignore something or not let it influence you,,,,O
okwesha,v,to play a game using stones,,,,O
okwesha,v,to push or move in a game,,,,O
okweshaanya,v,to be disgusted,,,,O
okweshaariiza,v,"to be strong and resilient, able to withstand great strain without tearing or breaking",to be tough,,,O
okweshaasha,v,to work hard in order to achieve something,,,,O
okweshagara,v,to get married when the parents and relatives are not informed,,,,O
okweshagara,v,"to go out to the kitchen, latrine, or toilet alone late in the night",,,,O
okweshahura,v,to go very fast from a given place so that something bad may not happen to you from there,,,,O
okweshanja,v,to find room,,,,O
okweshara,v,to cut oneself,,,,O
okwesharinga,v,"a public arrangement often organised, meeting or match protesting against or supporting",to demonstrate,,,O
okweshashura,v,to pay oneself,,,,O
okweshaza,v,to make oneself run mad when in actual sense he or she is normal,,,,O
okweshegura,v,to give support to the head while sleeping using a pillow,,,,O
okweshemba,v,to bandage oneself,,,,O
okweshemeza,v,to enjoy oneself,,,,O
okweshemeza,v,to make thoroughly clean,,,,O
okweshengyenya,v,to make constant small movements in a way that annoys other people,,,,O
okweshengyereza,v,to request for something earnestly,,,,O
okweshengyereza,v,to make request (especially to God),to pray,,,O
okweshera,v,to give animals water for drinking,,,,O
okweshereka,v,to prevent something or somebody from being seen,to hide,,,O
okweshongora,v,to make musical sounds with the voice in form of a song tone,to sing,,,O
okweshongora,v,to seperate oneself from the group when he may be doing something bad and he starts doing the right thing,,,,O
okweshotoora,v,to take yourself very slowly in terms of walking,,,,O
okweshuka,v,to get poured in large quantities,,,,O
okweshumba,v,quick movement to avoid something or someone from hurting or harming you,to dodge,,,O
okweshunga,v,to be fond of playing,to be playful,,,O
okweshunshuna,v,to develop a sense of proudness and sturboness,,,,O
okweshushaniriza,v,to form a mental picture of something,to imagine,,,O
okweshushura,v,to shed skin,,,,O
okweshushuura,v,to rub feaces from the anus using a paper or leaves of only wild plants after using the toilet,,,,O
okweshuubura,v,to lose feathers before new ones can grow,,,,O
okweshuusha,v,to go to a place many times within one day,,,,O
okweshwa,v,"to look like yourself or being yourself, that is resembling no one else",,,,O
okweshweka,v,,,,,O
okwesiba,v,to secure or fix something firmly,,,,O
okwesibanga,v,to roll oneself on the floor when he or she is feeling a lot of pain on the stomach or when someone is overdrunk,,,,O
okwesiga,v,"the belief or willingness to believe that one can rely on the goodnedd, strength, ability",to trust,,,O
okwesigainganya,v,"to assigned a given task, and instead of doing it together, one keeps on telling his workmate to do it instead",,,,O
okwesigarana,v,to be left without support or help especially after loosing all your property,,,,O
okwesiibyako,v,eating little or no food for a period of time,to fast,,,O
okwesiiga,v,to spread an oily or sticky substance,to smear oneself,,,O
okwesiima,v,to feel happy when you have got something good,,,,O
okwesiimira,v,to agree to or take responsibility,,,,O
okwesiimirana,v,to boast of something,,,,O
okwesiisibiriza,v,,,,,O
okwesika,v,to pull oneself,,,,O
okwesikurira,v,to let something happen to a person by himself or herself,,,,O
okwesikuza,v,to forcefully avoid someone or something; use of force to be free from someone's hands when he or she is holding you,,,,O
okwesimba,v,an event in which people compete against each other for a prize,to contest,,,O
okwesindika,v,feeling or showing pride,to be proud,,,O
okwesinga,v,to trust someone when he or she is lying you,,,,O
okwesingiza,v,praising oneself,,,,O
okwesinsimura,v,to take time in doing something without minding about others,,,,O
okwesisibanisa,v,to make oneself dry with hands,,,,O
okwesiza,v,to pay no attention to something,to ignore,,,O
okwesyamura,v,to go somewhere and you reach a long way and decide to go back,,,,O
okwesyamura,v,to expel air from the nose involuntarily,,,,O
okwesyonoora,v,to do something slowly and in untidy way,,,,O
okweta,v,to ask someone to come,to call,,,O
okweta,v,to give someone a name,to name,,,O
okweta,v,to ask someone to come for an event,to invite,,,O
okweta,v,to give someone a vacancy,to admit,,,O
okweta,v,to put a magic spell on someone,bewitching,,,O
okwetaaga,v,to require something that is very important,need,,,O
okwetaahiriza,v,to make a deeper understanding of a given task,to analyse,,,O
okwetaanyagura,v,"twisted expression on face. Expressing pain, disgust, etc intending to laugh",grimace,,,O
okwetaasya,v,to put oneself into a place or situation where one is not welcome,to intrude,,,O
okwetaataana,v,to go in different directions,disperse,,,O
okwetaba,v,to take part in something,,,,O
okwetabagura,v,to make someone or something muddy,,,,O
okwetabura,v,to mix,,,,O
okwetaguza,v,to call someone many times or consecutively (that is time after time),,,,O
okwetaho,v,to put something on yourself such as putting the blame on yourself,,,,O
okwetamika,v,to put food in ones mouth,,,,O
okwetanga,v,to protect or guard yourself from something bad that may affect your health or your life,,,,O
okwetangarika,v,to make oneself exposed,,,,O
okwetantara,v,to keep away from doing something,to avoid,,,O
okwetara,v,to have an unusual movements and running in an expression of happiness and good health especially by animals which are satisfied and healthy,,,,O
okwetara,v,to move anyhow,,,,O
okwetarika,v,an act where one displays him/herself either on fire or sun heat for warmth or drying,to expose,,,O
okwetebeekanisa,v,,,,,O
okweteeba,v,"to do something that will directly affect one who has done it, e.g in football",,,,O
okweteeka,v,to completely finish something or lose a job and stay in one place just with nothing to do or eat,,,,O
okweteeka,v,to sit or stand at still after he/she has done something (normally not good). The situation where one appears like he has not been or concerned about what went on the previous moment,,,,O
okweteekateeka,v,to get ready for something,to be prepared,,,O
okweteekyera,v,to prepare food or cook for oneself,,,,O
okweteera,v,to clean one'self from the dust that is on the clothes or flapping birds' wings,,,,O
okweteerana,v,"to form group, for example people from the same clan to be able to do something communially",,,,O
okweteerana,v,to experience a situation where hatred is brought between friends by an intruder who concocts a story to ruin people's relationship and end up being enemies,,,,O
okweteerateera,v,"to make an abnormal act of beating oneself, usually done to make people laugh or by mad people like slaping one's face or getting a stick and trying to beat yourself",,,,O
okweteerateera,v,to refuse to do something intentionally because may be one needs people,,,,O
okwetega,v,to prepare for something like famine and you look for food and keep enough to sustain you in the famine,,,,O
okwetega,v,to fail to stand due to crossing one's legs as he or she walks and falls down,,,,O
okweteguura,v,to prepare for anything or prepare to be challenged,,,,O
okwetegyeka,v,"to be independent: to be free from the control or influence of others, may be politically one not representing any political party and is not accused",to be independent,,,O
okwetegyeka,v,capable for acting for oneself or one's own without being stopped,,,,O
okwetegyereza,v,to be in position to understand or get what you are being told or reading and being able to react to or about it,,,,O
okwetegyereza,v,being literate: a situation where by one is capable of reading and writing,being literate,,,O
okwetegyerezana,v,to understand each other,,,,O
okweteisa,v,to repent: an act of asking for forgiveness if one has done wrong and want to be set free from the guilt,to repent,,,O
okwetendaiga,v,to talk good about oneself,,,,O
okwetenga,v,"to wish: a want or desire, feel, expression, or hope about someone's well being, succes, a feeling one gets wishing she or he could be like the one he admires",to wish,,,O
okwetenga,v,to be in need of something,,,,O
okweterera,v,to name after: giving a name to a person for recognition or a clan like if a parent died and the son is given his name to keep him remembered,to name after,,,O
okwetigita,v,to shake oneself,,,,O
okwetiiba,v,"to behave in a way that is not presentable. it is like pride, showing off and treating others to be cheap and knowing oneself to be beautiful and doing funny things to attract other people's attention",,,,O
okwetiiha,v,"to limit to oneself to what amount of food or alcohol he or she should take, that is bottle after bottle with excitement of enjoying till one can take no more",,,,O
okwetiina,v,to have inferioty complex: lack of self confidence in ones self about the peoples' or public pinion or one not being sure tha he can do something on his own and challange others,to have inferioty complex,,,O
okwetinda,v,to hide someone with an intention of beseiging him or her,,,,O
okwetinduura,v,to uproot something or getting rid of something,,,,O
okwetinduura,v,to come out of the hiding to expose ones presence to the person you were hiding from,,,,O
okwetirimura,v,(of a person) to isolate or seperate from a group of people he or she has been working ог staying with,,,,O
okwetomboita,v,to grumble: to complain about someone or something when one is very annoyed,to grumble,,,O
okwetonda,v,"to be careful: to give serious attention, especially to the details of the situation or something",to be careful,,,O
okwetonderana,v,"to ask for forgiveness from each other, especially the conflicting people",,,,O
okwetongora,v,to isolate: to keep separate from a group or company one is attached to,to isolate,,,O
okwetontobeka,v,the act of applying a lot of jerry or lotion on one's body,,,,O
okwetoofoora,v,to be slagish: doing something at a very slow pace,to be slagish,,,O
okwetoorana,v,to select: the act of choosing or selecting oneself,to select,,,O
okwetoorereza,v,to base on something or anothe to do something,,,,O
okwetooroora,v,to go round: moving in a circular form or making movements that take you where you have been formerly,to go round,,,O
okwetorotooza,v,to pilfer: to steal (things of small value),to pilfer,,,O
okwetorotooza,v,to disguise: to give a new appearance in order to hide its form,to disguise,John naayetorotooza nk'orikwenda kwiba.,John is disguising as if he wants to steal.,O
okwetuga,v,to use a lot of energy and courage to do something or make an achievement (especially when you feel you cannot manage),,,,O
okwetuga,v,to use force to end one's life or existence (especially using a rope),,John akeetuga n'omuguha yaafa.,John used the rope to hung himself and he died.,O
okwetuma,v,to jump or move quickly in order to catch or take hold of something,,,,O
okwetumiriza,v,to go unsent: the act of one going where not ordered to go,to go unsent,,,O
okwetumisiriza,v,,,,,O
okwetunenga,v,"to tighten oneself: squeezing oneself with either a rope or a cloth. It can be used to refer to when someone puts on tight clothes, which really outline the whole body make",to tighten oneself,,,O
okwetunga,v,to survive by oneself: struggling to live or exist on your own without depending on anybody or recieving help from anywhere,to survive by oneself,,,O
okwetunguura,v,to boast: the act of speaking proudly or happily about what one has done or what one knows,to boast,,,O
okweturatuza,v,to shrink: disapproving to avoid work or responsibility especially when difficult or unpleasant,to shrink,,,O
okwetuuma,v,to use a lot of force: to use a lot of energy or vigour to perform an activity,to use a lot of force,,,O
okwetwa,v,to be called upon to do work one is suited to do and to which one should give all his time and energy,,,,O
okwetwa,v,"to die: to stop leaving or existing, either slowly or suddenly",to die,,,O
okwetwara,,to be careful: to pay extra attention to something,to be careful,,,O
okwevuga,v,"to recite: the act of speaking out words in literature very fast (rapping) as people respond after one's words either admiring someone you love, talking about war or lamenting about the hash life",to recite,,,O
okwevuga,v,to drive oneself in his or her car,,,,O
okwevunuura,v,to take a drink with an intention of suppressing hang-over,,,,O
okweya,v,to clean a kraal: to remove dung and urine from places where animals reside or stay (especially domestic animals),to clean a kraal,,,O
okweyagura,v,to scratch oneself: to scratch one's body using fingernails especially when it is itching,to scratch oneself,,,O
okweyaka,v,to allow what you have leave your hand or possession,,,,O
okweyama,v,"to warn: to inform someone in advance of an impending or possible danger, problem or other unpleasant situation",to warn,,,O
okweyamba,,to help: to save oneself,to help,,,O
okweyamba,,to answer ones call of nature,,,,O
okweyanga,v,to dislike oneself,,,,O
okweyangisa,v,to pretend: a way of behaviour that is intended to decieve people,to pretend,,,O
okweyanjura,v,to introduce oneself,,,,O
okweyarira,v,to lay or make a bed by oneself,,,,O
okweyayamura,v,to yawn,,,,O
okweyebesa,v,to forget: to put out one's mind (often intentional),to forget,,,O
okweyemeka,v,to crown: to take control or position of power especially without having the right to,to crown,,,O
okweyemereza,v,to stand: to be in verticle state by straightening the legs of oneself,to stand,,,O
okweyendeza,v,to be selfish: to think first of one's own interests or personal needs without concern for others or not sharing what one has with others,to be selfish,,,O
okweyerera,v,to sweep: to clean (especially the floor) by using a brush or broom to collect the dirt into one place from which it can be removed,to sweep,,,O
okweyogosha,v,"to squirm: to move from side to side in an awkward way because of nervousness, embarassment or pain",to squirm,,,O
okweyoreka,v,to make yourself possible to be seen,,,,O
okweyoreka,v,to show off,,,,O
okweyorobya,v,to pretend: to behave as if one is simple in character when it is not neccessarily so,to pretend,,,O
okweza,v,to ripen (of a fruit or crops): to be fully developed or ready to be collected or eaten,to ripen,,,O
okweza,v,to make extremely clean,,,,O
okwezambaaza,v,to conduct oneself in such a way that he/she is exposed or prone to danger or anything bad,,,,O
okwezengyereza,v,to turn around,,,,O
okwezi,n,"moon: the object similar to a planet, which moves in the sky around the earth once every 28 days and which can be seen clearly at night when it shines with the light coming from the sun",moon,,,O
okwezigaziga,v,to change appearance or manner in order to obscure one's nature or intention,,,,O
okwezigoora,v,to rotate around: the act of moving around an axis or centre,to rotate around,,,O
okwezigurutsya,v,to walk around,,,,O
okwezigurusya,v,,,,,O
okweziika,v,to escape and disappear to a place where you cannot be traced,,,,O
okwezinga,v,to coil around: to tie or wrap something around another,to coil around,,,O
okwezingirira,v,to wind oneself around,,,,O
okwezingiza,v,to curl up: to move along by turning over and over from side to side,to curl up,,,O
okwezirika,v,to put clothes on oneself,,,,O
okwezirikurura,v,to remove or untie something tied around oneself (especially used of belts),,,,O
okweziringa,v,to be too slow in doing things or taking ones time in doing something. It is lack of quick action in performing things,,,,O
okweziringa,v,to roll on,,,,O
okweziringura,v,to wriggle: to twist and turn with quick short movements,to wriggle,,,O
okweziritirira,v,to rub the eyes: an act of squezingcthe eye especially when something has fallen into it,to rub the eyes,,,O
okwezuranzya,v,to move from here and there repeatedly in an effort to make an activity perfect or successful,,,,O
okwiba,v,to steal: to take something that is not yours without permission and with no intention to bring it back,to steal,,,O
okwiba-empimbi,v,to perform a ritual where a bride goes to her father-in-law's home and takes some food in an unofficial way. It is assumed she has stolen the food,,,,O
okwibika,v,to lay bee hives to trap bees as an arpilary activity,,,,O
okwibika,v,to immerse something in water,,,,O
okwibira,v,to swim: to move in water holizontally with the help of arms and legs,to swim,,,O
okwibirira,v,to cheat for someone in order to give him/her an advantage over the others,,,,O
okwibiza,v,to give a brief or incomplete view or look,,,,O
okwibuka,v,to remember: to renew ones image or thought; an act of memory,to remember,,,O
okwibuuza,v,to resurface: to disappear and again appear,to resurface,,,O
okwiga,v,to use magic to cause rain,,,,O
okwigira,v,to come nearer to a person especially when squeezed,,,,O
okwigirira,v,,,,,O
okwiguta,v,to get satisfied having had enough food,,,,O
okwiguza,v,to ask someone to open for you by knocking on the door,,Okwiguza omuntu ou otarikumanya ti kirungi.,It is not good to ask someone you do not know to open for you.,O
okwiha,v,to uproot tubers especially potatoes,,,,O
okwihaho,v,to subtract a number or an ammount from another number or ammount,,,,O
okwihaho,prep,except: it is used to mean only,except,,,O
okwihamu,v,to choose: to select something from others,to choose,Omutsigazi akaihamu ente nungi omu kikomera.,The boy chose a good cow from the market.,O
okwihura,v,to pay a debt,,Mukuru w'eishomero naaza kwihura abashomesa esente zaabo.,The headmaster is going to pay teachers their money.,O
okwihura,v,to serve food,,Omwana bamwihuriire ebyokurya bingi.,The child has been served alot of food.,O
okwihurira,v,to serve someone food,,Okwihurira omuntu ebyokurya nikyoreka emicwe mirungi.,To serve a person food shows good manners.,O
okwihuza,v,"to request for money, property that one is sure is his or hers, or has got the right of belonging or owning",,,,O
okwija,v,to come to a place,,Okwija kwanyu kwatushemeza.,Your coming has pleased us.,O
okwijurira,v,to transfer someone or something from one place to another,,,,O
okwijurirana,v,(of liquid) to be too full in a container,,,,O
okwijuza,v,to fill in a certain document,,Okwijuriza foomu omwana wa siniya ya kana tikiboneire.,Filling forms for a senior four student is not good.,O
okwijuza,v,(of a container) to make full of something,,,,O
okwikaara,v,,,,,O
okwikara,v,to sit and stay in one place for a period of time,,,,O
okwikarira,v,to wrestle down someone,,,,O
okwikaza,v,to do things in a hurry: to speed up the progress of work,to do things in a hurry,Akahinga arikwikaza yaarahuka kumara omusiri.,He dug hurrying and was able to finish the garden quickly.,O
okwikaza,v,to do baby sitting,,Maama areetsire omwishiki w'okwikaza omwana.,My mother brought a girl to baby sit the child.,O
okwikiriza,v,to accept to do what you have been asked,,Yaikiriza kwija.,He has accepted to come.,O
okwikiriza,v,to believe or have religious faith,,Abakazi nyamwingi nibaikiririza omuri Mukama Ruhanga.,A number of women believe in the Almighty God.,O
okwikiriza,v,to respond creatively to a cow when it makes a sound,,,,O
okwikirizibwa,v,to be allowed to do something,,,,O
okwikiza,v,to add unboiled food to the boiled one,,,,O
okwikiza,v,to bury grass while digging especially in the garden where potatoes are to be grown,,,,O
okwimata,v,to press something with a finger,,,,O
okwimatuka,v,to be soft especially for fruits like sweet bananas as a sign that they are ripe,,Okwimatuka kw'omunekye nikimanyisa ngu guhiire.,When a sweet banana is soft it means that it is ripe.,O
okwimukirana,v,to stand down for someone especially when there is competetion,,Okwimukirana nikirungi namunonga kwenda kureetaho obusingye.,Standing down for someone a good thing especially for the sake of bringing about peace.,O
okwimukirira,v,to keep lifting something up and moving it down,,,,O
okwimukiriza,v,"to incite somebody to do somthing violent, illegel ог unpleasant",,Akasharirwa omushango gw'okwimukiriza akavuyo.,He was charged with inciting violence.,O
okwimukyera,v,"to be unstable, he or she keeps on moving up and down",,,,O
okwimusya,v,to raise upright something that had fallen down,,Ashagire omusinzi ahirimire omu muhanda yaamwimusya.,He found a drunkard lying on the way and made him stand upright.,O
okwimusya,v,to start building a house,,,,O
okwimuura,v,(of masters) to change,,,,O
okwimuura,v,brasfamy: to sin against God,brasfamy,,,O
okwinama,v,to bend: to move down in a cycle form,to bend,,,O
okwinamira,v,to bow down as a sign of respect to an important person,,,,O
okwinamirira,v,to pay last respect to the one who has died,,,,O
okwinamuka,v,to retire from work for example from the garden after getting tired,,,,O
okwinamuka,v,to stand upright,,,,O
okwinara,v,"to be a victim of evil or harm of supernatural powers, hatred or any other bad thing",,,,O
okwinaza,v,to cause someone to be a destitute,,,,O
okwinganiza,v,"to make equal, uniform, corresponding, or matching",,,,O
okwinika,v,to bend something especially a stick,,,,O
okwinika,v,to put sorghum or millet that is dry in water in order to make it germinate,,,,O
okwinikira,v,to begin to milk a cow,,,,O
okwinikiza,v,to tell ancient stories,,,,O
okwinuka,v,,,,,O
okwinura,v,to retire someone from work for example from the garden,,,,O
okwinziira,v,to marry a widow in her own house,,,,O
okwiragura,v,to become dark in colour,,,,O
okwiragura,v,to become dirty,,,,O
okwiraguza,v,to make something dirty,,,,O
okwirira,v,(in the Anglican faith) to go for holy communion,,,,O
okwirira,v,to move a bit so as to create space,,,,O
okwirirayo,v,to extend further,,,,O
okwiririmba,v,to look harsh on the face especially when something has disturbed you,,,,O
okwiririrwa,v,to be caught up by darkness before reaching home,,,,O
okwiruka,v,to run,,Bakamweta omu mpaka z'okwiruka.,They called him into the running competetions.,O
okwirukana,v,to have diarrhoea: a sickness of frequent and watery bowel movements; can be a symptom of infection ог food poisoning,to have diarrhoea,Okwirukana nikwita kwaba kutaraguriziibwe.,Diarrhoea can kill if not treated.,O
okwirukanga,v,,,,,O
okwirukangirira,v,to give aid in form of money and other things to help one in need,,,,O
okwirukirira,v,,,,,O
okwirutsya,v,to run after something with an intention of catching it,,Okwirutsya embuzi orikwenda kugikwata kigumire.,Running after a goat to catch it is not easy.,O
okwisa,v,to create a condition that can lead to the death of someone,,,,O
okwisya,v,to breath: the process of taking in and expelling air during breathing,to breath,,,O
okwita,v,to kill: the act of terminating a life,to kill,Nooza kwita omwana ogu.,You will kill this child.,O
okwita-amaaya,v,to allow mingled millet start to cool and show carves,,,,O
okwita-ekihara,v,(of a man) to have sex outside marriage when his wife is pregnant,,,,O
okwita-enju,v,(of a woman) to have sex with a stranger when they are building a new home,,,,O
okwita-entabire,v,to commit adultery ог fornication before sowing seed in an already prepared garden,,,,O
okwita-eriisho,v,to look at someone with one eye closed in order to warn him,,,,O
okwitaita,v,to cover up something that is not exposed to the public,,,,O
okwitana,v,to kill each other: this is where people kill one another,to kill each other,Okwitana kw'abantu n'ekintu kirikutiinisa.,For people to kill of each other is something that is scaring.,O
okwitanira,v,to compete stiffly for something,,,,O
okwita-oburo,v,to commit adultery or fornification before millet is harvested and eaten,,,,O
okwita-omwaku,v,to eat unsatisfactorily,,,,O
okwitira,v,to smoke milk pots by burning grass so that they may have an aromantic scent,,,,O
okwitira,v,to remove extra suckers from a banana stool,,,,O
okwitirira,v,to water plants in the garden,,,,O
okwitiriza,v,to debauch: to be corrupt morally or by intemperance or sensuality,to debauch,,,O
okwitiza,v,to smoke a well scented stick into a milk gourd,,,,O
okwiturura,v,to separate butter milk from ghee,,,,O
okwitururuka,v,(of saliva) to drop slowly in a thin stream,,,,O
okwituura,v,to sharpen a hoe which has become blunt because of being used in stony places,,,,O
okwituura,v,to pay for work you did half way,,,,O
okwitwa,v,to be killed,,,,O
okwizihira,v,"to look nice, pleased, etc especially of brides",,,,O
okwo,pron,a word that stands in for a proper noun especialy of a place,,,,O
okwo,prep,that way,,,,O
okwobooka,v,to remove skin after burning,,,,O
okwoboora,v,to remove someone's skin off,,akashuuna omwishiki yamwoboora.,he pitched a girl and removed he skin off.,O
okwoboora,v,to abuse someone severely,,,,O
okwoga,v,to give a bath or clean your body with water,to bath,,,O
okwoga,v,to swim,,,,O
okwoga,v,to deny someone instead of defending him in the courts of law,,,,O
okwoga,v,to get away from unpleasant or dangerous position,,,,O
okwoga,v,to surpass others and leave them behind,,,,O
okwoga,v,to pass through something,,,,O
okwogaho,v,to go ahead; to move on,,,,O
okwogosha,v,to twist or wind a thread on something or make a rope,,,,O
okwoha,v,to push a person using force,,,,O
okwoha,v,to persuade or convice somebody to do something which can lead him into trouble,,,,O
okwoha,v,to eat with greed at high speed as you put a lot of food in the mouth,,,,O
okwohereza,v,to send someone or something to a certain place,,,,O
okwohibwa,v,"to attract somebody or make somebody have something, even if they know it is wrong",to atempt,,,O
okwohoka,v,to get destroyed or fall,(of the house or wall),,,O
okwohoka,v,to be upset,,,,O
