date,region,district,market_name,commodity,unit,price_type,price_ugx,price_usd
2024-11-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1420.0,0.39
2024-11-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5000.0,1.36
2024-11-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2125.0,0.58
2024-11-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4500.0,1.23
2024-11-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1740.0,0.47
2024-12-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3650.0,1.0
2024-12-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1250.0,0.34
2024-12-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3225.0,0.88
2024-12-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,775.0,0.21
2024-12-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4500.0,1.23
2024-12-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1500.0,0.41
2024-12-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,4000.0,1.1
2024-12-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,4500.0,1.23
2024-12-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4375.0,1.2
2024-12-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1300.0,0.36
2024-12-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5000.0,1.37
2024-12-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2000.0,0.55
2024-12-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4250.0,1.17
2024-12-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1900.0,0.52
2025-01-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3000.0,0.81
2025-01-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1000.0,0.27
2025-01-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3580.0,0.97
2025-01-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,800.0,0.22
2025-01-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4454.0,1.21
2025-01-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,2189.0,0.59
2025-01-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,3369.0,0.91
2025-01-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,2920.0,0.79
2025-01-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,4833.0,1.31
2025-01-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1433.0,0.39
2025-01-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5000.0,1.35
2025-01-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2500.0,0.68
2025-01-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4500.0,1.22
2025-01-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,1800.0,0.49
2025-02-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3383.0,0.92
2025-02-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1250.0,0.34
2025-02-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3218.0,0.88
2025-02-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,817.0,0.22
2025-02-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4485.0,1.22
2025-02-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1730.0,0.47
2025-02-15,Gulu,Gulu Municipality,Gulu,Beans,KG,Retail,3790.0,1.03
2025-02-15,Gulu,Gulu Municipality,Gulu,Cassava flour,KG,Retail,3973.0,1.08
2025-02-15,Jinja,Jinja Municipality,Jinja,Beans,KG,Retail,5000.0,1.36
2025-02-15,Jinja,Jinja Municipality,Jinja,Cassava flour,KG,Retail,1500.0,0.41
2025-02-15,Mbarara,Mbarara Municipality,Mbarara,Beans,KG,Retail,5000.0,1.36
2025-02-15,Mbarara,Mbarara Municipality,Mbarara,Cassava flour,KG,Retail,2208.0,0.6
2025-02-15,Kampala,Central Kampala,Owino,Beans,KG,Retail,4500.0,1.22
2025-02-15,Kampala,Central Kampala,Owino,Cassava flour,KG,Retail,2000.0,0.54
2025-03-15,Arua,Arua Municipality,Arua,Beans,KG,Retail,3432.0,0.94
2025-03-15,Arua,Arua Municipality,Arua,Cassava flour,KG,Retail,1268.0,0.35
2025-03-15,Busia,Samia-bugwe,Busia,Beans,KG,Retail,3265.0,0.89
2025-03-15,Busia,Samia-bugwe,Busia,Cassava flour,KG,Retail,828.0,0.23
2025-03-15,Kabarole,Fort Portal Municipality,Fort Portal,Beans,KG,Retail,4549.0,1.24
2025-03-15,Kabarole,Fort Portal Municipality,Fort Portal,Cassava flour,KG,Retail,1755.0,0.48
